technique_id,name,phases,platforms,permissions,mitre_tactic_score
T1003.004,LSA Secrets,credential-access,Windows,,4
T1600,Weaken Encryption,defense-evasion,Network Devices,,3
T1606.002,SAML Tokens,credential-access,"SaaS,Windows,IaaS,Office Suite,Identity Provider",,4
T1036.008,Masquerade File Type,defense-evasion,"Linux,macOS,Windows",,3
T1489,Service Stop,impact,"ESXi,IaaS,Linux,macOS,Windows",,5
T1587.001,Malware,resource-development,PRE,,1
T1652,Device Driver Discovery,discovery,"Linux,macOS,Windows",,2
T1087.002,Domain Account,discovery,"Linux,macOS,Windows",,2
T1547.014,Active Setup,"persistence,privilege-escalation",Windows,,5
T1564,Hide Artifacts,defense-evasion,"Linux,Office Suite,Windows,macOS,ESXi",,3
T1559.002,Dynamic Data Exchange,execution,Windows,,3
T1204.002,Malicious File,execution,"Linux,macOS,Windows",,3
T1591.003,Identify Business Tempo,reconnaissance,PRE,,1
T1071.005,Publish/Subscribe Protocols,command-and-control,"macOS,Linux,Windows,Network Devices",,4
T1592.001,Hardware,reconnaissance,PRE,,1
T1080,Taint Shared Content,lateral-movement,"Windows,SaaS,Linux,macOS,Office Suite",,4
T1484.002,Trust Modification,"defense-evasion,privilege-escalation","Identity Provider,Windows",,5
T1213.006,Databases,collection,"Linux,Windows,macOS,IaaS,SaaS",,2
T1573.001,Symmetric Cryptography,command-and-control,"ESXi,Linux,macOS,Network Devices,Windows",,4
T1087.001,Local Account,discovery,"ESXi,Linux,macOS,Windows",,2
T1586.001,Social Media Accounts,resource-development,PRE,,1
T1176.001,Browser Extensions,persistence,"Linux,Windows,macOS",,3
T1562.009,Safe Mode Boot,defense-evasion,Windows,,3
T1542.005,TFTP Boot,"defense-evasion,persistence",Network Devices,,3
T1543.003,Windows Service,"persistence,privilege-escalation",Windows,,5
T1568.001,Fast Flux DNS,command-and-control,"Linux,macOS,Windows,ESXi",,4
T1497.001,System Checks,"defense-evasion,discovery","Linux,macOS,Windows",,3
T1053.003,Cron,"execution,persistence,privilege-escalation","Linux,macOS,ESXi",,5
T1069.002,Domain Groups,discovery,"Linux,macOS,Windows",,2
T1588.006,Vulnerabilities,resource-development,PRE,,1
T1566.002,Spearphishing Link,initial-access,"Identity Provider,Linux,macOS,Office Suite,SaaS,Windows",,5
T1070.002,Clear Linux or Mac System Logs,defense-evasion,"Linux,macOS",,3
T1499.004,Application or System Exploitation,impact,"Windows,IaaS,Linux,macOS",,5
T1137,Office Application Startup,persistence,"Windows,Office Suite",,3
T1218.004,InstallUtil,defense-evasion,Windows,,3
T1598.003,Spearphishing Link,reconnaissance,PRE,,1
T1021.004,SSH,lateral-movement,"ESXi,Linux,macOS",,4
T1098.003,Additional Cloud Roles,"persistence,privilege-escalation","IaaS,Identity Provider,Office Suite,SaaS",,5
T1547.012,Print Processors,"persistence,privilege-escalation",Windows,,5
T1566.001,Spearphishing Attachment,initial-access,"Linux,macOS,Windows",,5
T1027.008,Stripped Payloads,defense-evasion,"macOS,Linux,Windows,Network Devices",,3
T1559.001,Component Object Model,execution,Windows,,3
T1574.001,DLL,"persistence,privilege-escalation,defense-evasion",Windows,,5
T1119,Automated Collection,collection,"IaaS,Linux,macOS,Office Suite,SaaS,Windows",,2
T1115,Clipboard Data,collection,"Linux,macOS,Windows",,2
T1003.007,Proc Filesystem,credential-access,Linux,,4
T1583.005,Botnet,resource-development,PRE,,1
T1555.005,Password Managers,credential-access,"Linux,macOS,Windows",,4
T1553.001,Gatekeeper Bypass,defense-evasion,macOS,,3
T1675,ESXi Administration Command,execution,ESXi,,3
T1608.004,Drive-by Target,resource-development,PRE,,1
T1007,System Service Discovery,discovery,"Linux,macOS,Windows",,2
T1040,Network Sniffing,"credential-access,discovery","Linux,macOS,Windows,Network Devices,IaaS",,4
T1553.002,Code Signing,defense-evasion,"macOS,Windows",,3
T1530,Data from Cloud Storage,collection,"IaaS,Office Suite,SaaS",,2
T1565.003,Runtime Data Manipulation,impact,"Linux,macOS,Windows",,5
T1552.002,Credentials in Registry,credential-access,Windows,,4
T1135,Network Share Discovery,discovery,"Linux,macOS,Windows",,2
T1120,Peripheral Device Discovery,discovery,"Linux,Windows,macOS",,2
T1036.009,Break Process Trees,defense-evasion,"Linux,macOS",,3
T1590.004,Network Topology,reconnaissance,PRE,,1
T1587.002,Code Signing Certificates,resource-development,PRE,,1
T1222.001,Windows File and Directory Permissions Modification,defense-evasion,Windows,,3
T1137.006,Add-ins,persistence,"Windows,Office Suite",,3
T1505.002,Transport Agent,persistence,"Linux,Windows",,3
T1082,System Information Discovery,discovery,"ESXi,IaaS,Linux,macOS,Network Devices,Windows",,2
T1071,Application Layer Protocol,command-and-control,"Linux,macOS,Windows,Network Devices,ESXi",,4
T1574.014,AppDomainManager,"persistence,privilege-escalation,defense-evasion",Windows,,5
T1074.002,Remote Data Staging,collection,"Windows,IaaS,Linux,macOS,ESXi",,2
T1098.006,Additional Container Cluster Roles,"persistence,privilege-escalation",Containers,,5
T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation","Windows,Linux,macOS,Containers,ESXi",,5
T1218.007,Msiexec,defense-evasion,Windows,,3
T1590.003,Network Trust Dependencies,reconnaissance,PRE,,1
T1498.002,Reflection Amplification,impact,"Windows,IaaS,Linux,macOS",,5
T1556.002,Password Filter DLL,"credential-access,defense-evasion,persistence",Windows,,4
T1505.005,Terminal Services DLL,persistence,Windows,,3
T1059.002,AppleScript,execution,macOS,,3
T1176,Software Extensions,persistence,"Linux,macOS,Windows",,3
T1499.002,Service Exhaustion Flood,impact,"Windows,IaaS,Linux,macOS",,5
T1195.003,Compromise Hardware Supply Chain,initial-access,"Linux,macOS,Windows",,5
T1106,Native API,execution,"Linux,macOS,Windows",,3
T1558.005,Ccache Files,credential-access,"Linux,macOS",,4
T1070.007,Clear Network Connection History and Configurations,defense-evasion,"Linux,macOS,Windows,Network Devices",,3
T1558.004,AS-REP Roasting,credential-access,Windows,,4
T1584.003,Virtual Private Server,resource-development,PRE,,1
T1059.010,AutoHotKey & AutoIT,execution,Windows,,3
T1600.001,Reduce Key Space,defense-evasion,Network Devices,,3
T1070.003,Clear Command History,defense-evasion,"ESXi,Linux,macOS,Network Devices,Windows",,3
T1202,Indirect Command Execution,defense-evasion,Windows,,3
T1091,Replication Through Removable Media,"lateral-movement,initial-access",Windows,,5
T1005,Data from Local System,collection,"ESXi,Linux,macOS,Network Devices,Windows",,2
T1140,Deobfuscate/Decode Files or Information,defense-evasion,"ESXi,Linux,macOS,Windows",,3
T1137.005,Outlook Rules,persistence,"Windows,Office Suite",,3
T1562,Impair Defenses,defense-evasion,"Windows,IaaS,Linux,macOS,Containers,Network Devices,Identity Provider,Office Suite,ESXi",,3
T1586.003,Cloud Accounts,resource-development,PRE,,1
T1586.002,Email Accounts,resource-development,PRE,,1
T1098.007,Additional Local or Domain Groups,"persistence,privilege-escalation","Windows,macOS,Linux",,5
T1608.001,Upload Malware,resource-development,PRE,,1
T1195,Supply Chain Compromise,initial-access,"Linux,Windows,macOS,SaaS",,5
T1190,Exploit Public-Facing Application,initial-access,"Containers,ESXi,IaaS,Linux,macOS,Network Devices,Windows",,5
T1558,Steal or Forge Kerberos Tickets,credential-access,"Windows,Linux,macOS",,4
T1555,Credentials from Password Stores,credential-access,"IaaS,Linux,macOS,Windows",,4
T1567,Exfiltration Over Web Service,exfiltration,"ESXi,Linux,macOS,Office Suite,SaaS,Windows",,4
T1219,Remote Access Tools,command-and-control,"Linux,macOS,Windows",,4
T1583.001,Domains,resource-development,PRE,,1
T1560.002,Archive via Library,collection,"Linux,macOS,Windows",,2
T1055.003,Thread Execution Hijacking,"defense-evasion,privilege-escalation",Windows,,5
T1036,Masquerading,defense-evasion,"Containers,ESXi,Linux,macOS,Windows",,3
T1546.011,Application Shimming,"privilege-escalation,persistence",Windows,,5
T1552,Unsecured Credentials,credential-access,"Windows,SaaS,IaaS,Linux,macOS,Containers,Network Devices,Office Suite,Identity Provider",,4
T1547.010,Port Monitors,"persistence,privilege-escalation",Windows,,5
T1070.008,Clear Mailbox Data,defense-evasion,"Linux,macOS,Office Suite,Windows",,3
T1037.002,Login Hook,"persistence,privilege-escalation",macOS,,5
T1659,Content Injection,"initial-access,command-and-control","Linux,macOS,Windows",,5
T1055,Process Injection,"defense-evasion,privilege-escalation","Linux,macOS,Windows",,5
T1567.004,Exfiltration Over Webhook,exfiltration,"Windows,macOS,Linux,SaaS,Office Suite,ESXi",,4
T1205,Traffic Signaling,"defense-evasion,persistence,command-and-control","Linux,macOS,Network Devices,Windows",,4
T1021.008,Direct Cloud VM Connections,lateral-movement,IaaS,,4
T1218,System Binary Proxy Execution,defense-evasion,"Windows,Linux,macOS",,3
T1070.006,Timestomp,defense-evasion,"ESXi,Linux,macOS,Windows",,3
T1557.004,Evil Twin,"credential-access,collection",Network Devices,,4
T1620,Reflective Code Loading,defense-evasion,"Linux,macOS,Windows",,3
T1016.002,Wi-Fi Discovery,discovery,"Linux,Windows,macOS",,2
T1480.002,Mutual Exclusion,defense-evasion,"Linux,macOS,Windows",,3
T1564.011,Ignore Process Interrupts,defense-evasion,"Linux,macOS,Windows",,3
T1611,Escape to Host,privilege-escalation,"Windows,Linux,Containers,ESXi",,5
T1518.002,Backup Software Discovery,discovery,"Windows,macOS,Linux",,2
T1547.009,Shortcut Modification,"persistence,privilege-escalation",Windows,,5
T1010,Application Window Discovery,discovery,"Linux,Windows,macOS",,2
T1569.003,Systemctl,execution,Linux,,3
T1087.003,Email Account,discovery,"Windows,Office Suite",,2
T1497.003,Time Based Checks,"defense-evasion,discovery","Linux,macOS,Windows",,3
T1218.003,CMSTP,defense-evasion,Windows,,3
T1563.001,SSH Hijacking,lateral-movement,"Linux,macOS",,4
T1562.002,Disable Windows Event Logging,defense-evasion,Windows,,3
T1029,Scheduled Transfer,exfiltration,"Linux,macOS,Windows",,4
T1021.002,SMB/Windows Admin Shares,lateral-movement,Windows,,4
T1525,Implant Internal Image,persistence,"IaaS,Containers",,3
T1572,Protocol Tunneling,command-and-control,"ESXi,Linux,macOS,Windows",,4
T1218.002,Control Panel,defense-evasion,Windows,,3
T1599.001,Network Address Translation Traversal,defense-evasion,Network Devices,,3
T1608.002,Upload Tool,resource-development,PRE,,1
T1547.005,Security Support Provider,"persistence,privilege-escalation",Windows,,5
T1036.011,Overwrite Process Arguments,defense-evasion,Linux,,3
